event-id,visible,timestamp,location-long,location-lat,gps:hdop,gps:maximum-signal-strength,gps:satellite-count,ground-speed,height-above-msl,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
3521510354,true,2017-08-08 20:27:34.000,-7.195595,41.370171,1.02,260.0,6,11.1,688.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510355,true,2017-08-08 20:28:01.000,-7.195836,41.371475,1.06,201.0,5,18.5,678.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510356,true,2017-08-08 20:28:31.000,-7.197555,41.37231,1.02,198.0,6,25.9,728.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510357,true,2017-08-08 20:29:01.000,-7.200052,41.372733,1.06,201.0,5,22.2,712.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510358,true,2017-08-08 20:29:32.000,-7.203197,41.372195,1.02,238.0,6,40.7,654.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510359,true,2017-08-08 20:30:01.000,-7.206371,41.372011,1.06,198.0,5,29.6,632.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510360,true,2017-08-08 20:30:31.000,-7.20917,41.37121,1.06,170.0,5,29.6,576.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510361,true,2017-08-08 20:31:01.000,-7.211344,41.370649,1.06,195.0,5,29.6,546.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510362,true,2017-08-08 20:31:31.000,-7.211706,41.371077,1.02,205.0,6,18.5,536.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510363,true,2017-08-08 20:32:01.000,-7.212683,41.371669,1.04,166.0,5,18.5,544.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510364,true,2017-08-08 20:32:31.000,-7.214266,41.3707,1.06,167.0,5,37.0,514.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510365,true,2017-08-08 20:33:01.000,-7.216141,41.370415,1.02,198.0,6,7.4,512.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510366,true,2017-08-08 20:33:32.000,-7.218038,41.369026,1.06,192.0,5,14.8,470.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510367,true,2017-08-08 20:34:01.000,-7.217345,41.368999,2.04,174.0,5,25.9,464.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510368,true,2017-08-08 20:34:31.000,-7.215664,41.370155,2.04,194.0,5,25.9,456.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510369,true,2017-08-08 20:35:01.000,-7.21517,41.371117,2.04,196.0,5,14.8,450.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510370,true,2017-08-08 20:35:31.000,-7.214594,41.372176,1.06,246.0,5,25.9,476.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510371,true,2017-08-08 20:36:01.000,-7.213679,41.372641,2.04,171.0,5,22.2,442.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510372,true,2017-08-08 20:36:31.000,-7.213359,41.37346,1.04,206.0,5,14.8,456.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510373,true,2017-08-08 20:37:01.000,-7.212339,41.37409,1.06,191.0,5,7.4,412.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510374,true,2017-08-08 20:37:31.000,-7.214085,41.37276,1.06,211.0,5,22.2,422.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510375,true,2017-08-08 20:38:01.000,-7.213861,41.372373,1.04,228.0,5,37.0,378.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
3521510376,true,2017-08-08 20:38:31.000,-7.212359,41.371573,2.02,199.0,5,51.8,396.0,,"gps","Tadarida teniotis","41","Bat7_3D6001852B9A3","3D flights of European free-tailed bats"
